Old_name	New_name	Library_name	Population	Position in cluster	Sex
861530H	861530	861530H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/861530H/861530H.bam	1
862783H	862783	862783H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/862783H/862783H.bam	2
868867B1	868867	P3_868867B1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_868867B1/868867B1.bam	1
871031H	871031	871031H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/871031H/871031H.bam	1
871960H	871960	871960H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/871960H/871960H.bam	1
875626H	875626	875626H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/875626H/875626H.bam	1
877004H	877004	877004H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877004H/877004H.bam	1
877125H	877125	877125H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877125H/877125H.bam	1
877175H	877175	877175H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877175H/877175H.bam	1
877177H	877177	877177H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877177H/877177H.bam	2
877321H	877321	877321H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877321H/877321H.bam	1
877337H	877337	877337H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877337H/877337H.bam	2
877391H	877391	877391H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877391H/877391H.bam	2
877448A1	877448	P3_877448A1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_877448A1/877448A1.bam	2
877475E1	877475	P3_877475E1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_877475E1/P3_877475E1.bam	2
877511H	877511	877511H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877511H/877511H.bam	2
877558H	877558	877558H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877558H/877558H.bam	2
877566H	877566	877566H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877566H/877566H.bam	2
877811H	877811	877811H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877811H/877811H.bam	1
877825F2	877825B	P3_877825F2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_877825F2/P3_877825F2.bam	1
877825H	877825	877825H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877825H/877825H.bam	1
877861H	877861	877861H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877861H/877861H.bam	1
877921H	877921	877921H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877921H/877921H.bam	2
877922H	877922	877922H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877922H/877922H.bam	1
877925H	877925	877925H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/877925H/877925H.bam	2
878735H	878735	878735H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/878735H/878735H.bam	2
881115H	881115	881115H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/881115H/881115H.bam	2
883063H11	883063	P2_883063H11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_883063H11/883063H11.bam	2
889010D1	889010	P3_889010D1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_889010D1/889010D1.bam	1
889131H	889131	889131H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/889131H/889131H.bam	1
889182H	889182	889182H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/889182H/889182H.bam	1
889183B12	889183	P2_889183B12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_889183B12/889183B12.bam	2
889252H	889252	889252H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/889252H/889252H.bam	1
889272E3	889272	P3_889272E3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_889272E3/889272E3.bam	1
889378C12	889378	P2_889378C12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_889378C12/889378C12.bam	1
889732E10	889732	P2_889732E10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_889732E10/889732E10.bam	1
889746H3	889746	P3_889746H3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_889746H3/889746H3.bam	1
889771C1	889771	P3_889771C1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_889771C1/889771C1.bam	2
892465E2	892465	P3_892465E2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_892465E2/P3_892465E2.bam	2
895274G2	895274	P2_895274G2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_895274G2/895274G2.bam	2
895818A4	895818	P3_895818A4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_895818A4/895818A4.bam	2
896669A12	896669	P2_896669A12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_896669A12/896669A12.bam	1
898070D12	898070	P2_898070D12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_898070D12/P2_898070D12.bam	2
